TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
133817:19	"i don't know even how *-1 to say *t*-2,"	"###i don't know how else * to explain it *t*-1.###speakerb58.###what color is it *t*-1?###speakera59.###it's pink.###speakerb60.###pink,###okay.###speakera61.###it's kind of got, uh, oh, just kind of a worn look to it."	how	how *-1 to say *t*-2	i don't know even  	","	I don't know even how I should say.	I don't know even how I could say.
54036:19	i don't even know how * to knit *t*-1	"###but, you know, it's nothing that i, can really,###speakera35.###it's not, like you sit and knit every night.###speakerb36.###speakera37.###speakerb38.###no.###not at all.###speakera39.###yeah."	how	how * to knit *t*-1	i don't even kno 	w	I don't even know how I should knit.	I don't even know how I could knit.
71650:16	you can't forget how * to ride a bike *t*-2.	"### we've, we ride our bike occasionally but again not nearly often enough.###speakerb86.###uh-huh.###i don't even own a bike,###i think 0 the last time 0 i was on a bike *t*-1 when i was about twelve *t*-2,###so.###uh, i don't know,###i'd be afraid,, afraid 0 i probably forgot how * to ride a bike *t*-1, you know.###speakera87.###no,"	how	how * to ride a bike *t*-2	you can't forget  	.	You can't forget how you should ride a bike.	You can't forget how you could ride a bike.
42920:16	"well, i know how * to use one *t*-1."	"###* hold on,###speakerb186.###yeah.###speakera187.###he's in here somewhere,###i know 0 he is *?*.###speakerb188.###right.###speakera189.###yeah."	how	how * to use one *t*-1	"well, i know  "	.	"Well, I know how I should use one."	"Well, I know how I could use one."
176811:47	"a-, and you knew how, you knew how * to do the framing *t*-1?"	"###or was it stuff that *t*-1 was already, uh, enclosed *-2?###speakerb28.###it was brand new.###speakera29.###brand new###mumblex.###speakerb30.###we started with the backyard and turned it into part of the house###so it was,###speakera31."	how	how * to do the framing *t*-1	"a-, and you knew how, you knew  "	?	You knew how you should do the framing?	You knew how you could do the framing?
100627:16	they don't know what * to expect *t*-1 at home.	"###speakera37.###speakerb38.###it's what *t*-1's wrong with families###and if, if children come to school, yes, *-1 insecure and their mo-, biggest concern is survival both at home,###speakera39.###and society in general.###speakerb40.###speakera41.###right.###speakerb42."	what	what * to expect *t*-1 at home	they don't know  	.	They don't know what they should expect at home.	They don't know what they could expect at home.
91275:50	"and, um, you know, i, i didn't know what * to expect *t*-1, except 0 i had heard that, that jane austen was such a wonderful novelist,"	"###speakera79.###speakerb80.###by jane austen,###yes.###speakera81.###that's what it was *t*-1,###yes.###speakerb82.###yes.###speakera83."	what	"what * to expect *t*-1, except 0 i had heard that, that jane austen was such a wonderful novelist"	and  um  you know  i  i didn't know  	","	I didn't know what I should expect.	I didn't know what I could expect.
117586:18	"and i did not know what * to expect *t*-1 from a dog *-2 having not had one,"	"###he doesn't know that he's tearing up things,###but he does.###speakerb20.###yeah,###yeah.###speakera21.###and the worst part that i had *t*-1 with him, he's, he's three now was when he was, uh, about eight months old *t*-2###speakerb22.###uh-huh.###speakera23."	what	what * to expect *t*-1 from a dog	and i did not know  *-2 having not had one 	","	I did not know what I should expect from a dog having not had one.	I did not know what I could expect from a dog having not had one.
155619:56	"you know the fam-, well the families do not necessarily, uh, know what * to do *t*-1 with them"	"###they really are *?*.###they don't like *-1 to keep them longer than a week.###speakerb23.### so so there is some good to it.###speakera24.###speakerb25.###speakera26.###yeah.###speakerb27.###uh, sometimes too, it's used *-1 as a dumb job."	what	what * to do *t*-1 with them	"you kno  the fam-,  ell the families do not necessarily, uh, kno "	w	Well the families do not necessarily know what they should do with them.	Well the families do not necessarily know what they could do with them.
7981:19:00	"you don't even know who *-1 to payoff *t*-2, huh?."	"###speakerb90.###yeah,###speakera91.###most of the time.###speakerb92.###but the politics, the politics gets worse in the small towns sometimes.###speakera93.###oh man, in dallas you don't even know who *t*-1's in, in administration,###there's so many of them.###speakerb94."	who	who *-1 to payoff *t*-2	"you don't even know , huh? "	.	"You don't even know who you should payoff, huh?"	"You don't even know who you could payoff, huh?"
