TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
1130:56:00	"and if that's gone, um, i, i really don't know <b>how *-1 to live *t*-2 very well</b>."	"###i actually###for al-, of the time 0 i've spent *t*-1 there, i still don't quite understand how certain things that i assume 0 *t*-2 and require privacy and require not just that you be alone but actually that you have a sense of privacy *t*-3.###speakerb94.###yes.###speakera95.###because anyone can be alone for some period of time###but for me a lot of what i do *t*-1 requires a sense that there's this invisible barrier around me which people wil-, will respect *t*-2.###speakerb96.###yes.###speakera97."	how	how *-1 to live *t*-2 very well	and if that's gone  um  i  i really don't know  	","	"If that's gone, um, I, I really don't know how I <b>should</b> live very well."	"If that's gone, um, I, I really don't know how I <b>could</b> live very well."
106447:53	"and there was, i was just painting because i don't know <b>how * to do anything else</b> *t*-1."	"###we would go down two or three hours on the weekends,###speakera77.###uh-huh.###speakerb78.###and,###speakera79.###so there was two of you all?###speakerb80.###no,### there was, they were doing all sorts of repairs,"	how	how * to do anything else *t*-1	"and there was, i was just painting because i don't know  "	.	I was just painting because I don't know how I <b>should</b> do anything else.	I was just painting because I don't know how I <b>could</b> do anything else.
46762:16	i don't know <b>how *-2 to explain</b> *t*-1.	"###they're a lot,###i don't like the new style, like of the toyota van, and the, the new chevy lumina van,###speakerb48.###uh-huh.###speakera49.###speakerb50.###uh-huh.###speakera51.###i don't like those styles, um,###the mpv is more of, uh, uh, just, uh, i don't know what you, normal-,"	how	how *-2 to explain *t*-1	i don't know  	","	I don't know how I <b>should</b> explain.	I don't know how I <b>could</b> explain.
38890:31	"and i, i still remember <b>how * to do it</b> *t*-1."	"###speakerb30.###so.###speakera31.###i enjoy, uh, sewing and needlework also.### i've, i've, uh, made some small things, cross stitch things.###and, um back when i was in high school *t*-1, i worked at a needlework shop,###speakerb32.###uh-huh.###speakera33.###and i, i used *-1 to do the latch hook rugs and needlepoint and things like that,"	how	how * to do it *t*-1	"and i, i still remember  "	.	I still remember how I <b>should</b> do it.	I still remember how I <b>could</b> do it.
91713:93	"do they always have the, the one person in the family who * knows, or everyone thinks 0 *t*-4 they know <b>how * to make this the best</b> *t*-3, so that's what they get *-1 to cook *t*-2."	"###speakera60.###oh, that's nice.###speakerb61.###uh, that happens *-1 to be my specialty for that family.###i do other things very well,###speakera62.###right.###speakerb63.###but there are others in the family who *t*-1 do them better.###speakera64."	how	how * to make this the best *t*-3	"do they always have the, the one person in the family who * knows, or everyone thinks 0 *t*-4 they know , so that's what they get *-1 to cook *t*-2 "	.	"Do they always have the, the one person in the family who knows, or everyone thinks they know how they <b>should</b> make this the best, so that's what they get to cook."	"Do they always have the, the one person in the family who knows, or everyone thinks they know how they <b>could</b> make this the best, so that's what they get to cook."
53473:26	"well, um, i don't know <b>what *-1 to say</b> *t*-2."	"###true.###* trying *-1 to think what else *t*-2 is, is current.###speakerb34.###speakera35.###speakerb36.###right.###speakera37.###speakerb38.###uh, uh,###speakera39."	what	what *-1 to say *t*-2	"well, um, i don't know  "	.	"Well, um, I don't know what I <b>should</b> say."	"Well, um, I don't know what I <b>could</b> say."
90924:61	"i, i think 0 the bad part is that most parents or kids don't know <b>what * to look for</b> *t*-1."	"###and i don't, i think 0 because it costs less, the kid doesn't take it quite as serious, you know,### they're not, th-,### it, it's the minimal cost.###but i think 0 you can get a good education at public or private###but i think 0 you can also get a bad education at public or private, you know,###i###speakerb58.###yeah.###speakera59.### you have *-1 to really, you have *-2 to look around at the school."	what	what * to look for *t*-1	"i, i think 0 the bad part is that most parents or kids don't know  "	.	I think the bad part is that most parents or kids don't know what they <b>should</b> look for.	I think the bad part is that most parents or kids don't know what they <b>could</b> look for.
103964:16	i didn't know <b>what *-2 to expect</b> *t*-1.	"###speakerb28.###yeah.###speakera29.###so, uh, you know, we, when we go *-3 dump, actually when we go *-1 dump our things *t*-2, oh, we collect newspapers, too, and then take them,###* seems like there's a pretty well, there's a p-, pretty continual flow of people coming and dumping glass and dumping plastics###speakerb30.###uh-huh.###speakera31.###so that's kind of encouraging.### i didn't know, you know, i didn't know if we started *-1 to do that."	what	what *-2 to expect *t*-1	i didn't know  	.	I didn't know what I <b>should</b> expect.	I didn't know what I <b>could</b> expect.
87599:18	"and i don't know <b>what * to cutback on</b> *t*-1 * to, to get, to get that, to get that settled *-2."	"###speakera1.###well, we, uh,###taxes,###everyone thinks 0 taxes are too high i'm sure 0 *t*-1.###but, uh, i think 0 we do get quite a good value for the tax dollars 0 we spend *t*-1 in most cases.###what do you think *t*-1?###speakerb2.###uh, yeah,### i, i think so.### i, i'm, uh, i think 0 i'm, i think 0 i'm, uh, a little out of the ordinary in that, that i, i, uh, i think 0 i'm more worried about the deficit, the national deficit than, than, uh, a lot of other people are *?* and think that we need *-1 to, we need *-2 to either raise our taxes or, or cutback on something"	what	"what * to cutback on *t*-1 * to, to get, to get that, to get that settled *-2"	and i don't know  	.	"I don't know what we <b>should</b> cutback on to, to get, to get that, to get that settled."	"I don't know what we <b>could</b> cutback on to, to get, to get that, to get that settled."
109259:18	but i didn't know <b>where * to take them</b> *t*-1.	"###speakerb22.###uh-huh.###speakera23.###and then we usually save up our cans and, and change them in for money.###speakerb24.###well, where do you do that *t*-1,###because we've been saving cans for my daughter's choir um,###speakera25.###uh-huh.###speakerb26."	where	where * to take them *t*-1	but i didn't know  	.	I didn't know where I <b>should</b> take them.	I didn't know where I <b>could</b> take them.
