TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
86712:37	"and, and, uh, he taught me <b>how * to shoot, uh, a old single shot twenty-two</b> *t*-1"	"### this was, it was not my, it was my mother's uncle,###this was a gentleman in his sixties,###speakerb118.###um.###speakera119.###and he took me out with him and, uh, single shot twenty-two, and taught me how * to shoot *t*-1.###speakerb120.###uh-huh.###speakera121.###we went *-1 squirrel hunting"	how	"how * to shoot, uh, a old single shot twenty-two *t*-1"	"and, and, uh, h  taught m "	e	"He taught me how I <b>should</b> shoot, uh, a old single shot twenty-two."	"He taught me how I <b>could</b> shoot, uh, a old single shot twenty-two."
115523:46	"when i like something *t*-3, i usually try *-1 to figure out <b>how * to make money off of it</b> *t*-2."	"###speakerb86.###speakera87.###that's,###uh, well, my, my other things that i like *-1 to do *t*-2 in my spare time, i'm, i like *-3 swimming.###speakerb88.###uh-huh.###speakera89.###which *t*-1 is in now.###i've done that###and i, i also,"	how	how * to make money off of it *t*-2	"when i like something *t*-3, i usually try *-1 to figure out  "	.	"When I like something, I usually try to figure out how I <b>should</b> make money off of it."	"When I like something, I usually try to figure out how I <b>could</b> make money off of it."
119163:33	that's about the only kind 0 i know <b>how * to do</b> *t*-1 *t*-2.	"###i think 0 when they refer to different kinds of fishing *t*-1###i told my husband last night when i had called and they had, told me that this was a topic *t*-1,###i said, well, i can tell them how * to fish with a minnow *t*-1 or how * to fish with a worm *t*-2.###he said, i don't think 0 that's the different kinds of fishing 0 they're talking about *t*-1.###speakerb10.###well, i hope 0 it is *?*,###speakera11.###speakerb12.###there's not a whole lot of different kinds.###speakera13."	how	how * to do *t*-1 *t*-2	that's about the only kind 0 i know  	.	That's about the only kind I know how I <b>should</b> to do.	That's about the only kind I know how I <b>could</b> to do.
62072:48	"i want *-1 to believe 0 they go into other countries and teach them <b>how * to do things like * farm, uh, dig their own wells, set up, their schools</b> *t*-2."	"###the peace corps itself is really a, uh, dying out, isn't it *?*?###speakerb36.###i really don't know that much about it,###you know, i, i, i think of the peace corps, you know, more like the sixties *ich*-1 and that kind of stuff when,###speakera37.###it's still in existence.###speakerb38.###yeah.###and don't they go into other countries and stuff?###speakera39."	how	"how * to do things like * farm, uh, dig their own wells, set up, their schools *t*-2"	i want *-1 to believe 0 they go into other countries and teach them  	.	"I want to believe they go into other countries and teach them how they <b>should</b> do things like farm, uh, dig their own wells, set up, their schools ."	"I want to believe they go into other countries and teach them how they <b>could</b> do things like farm, uh, dig their own wells, set up, their schools ."
97050:16	"they do not know <b>how *-1 to think for themselves and be responsible, for themselves</b> *t*-2."	"###yeah.###speakerb180.###they are intellectual cripples,###speakera181.###uh-huh.###speakerb182.###and so are *t*-1 children.###speakera183.###uh-huh.###speakerb184."	how	"how *-1 to think for themselves and be responsible, for themselves *t*-2"	they do not know  	.	"They do not know how they <b>should</b> think for themselves and be responsible, for themselves."	"They do not know how they <b>could</b> think for themselves and be responsible, for themselves."
85292:20	all the developers don't know <b>what * to do</b> *t*-1.	"###speakerb35.###the past, uh, uh, year and a half prices have gone down which *t*-1 is totally new for northern virginia.###speakera36.###uh-huh.### it just, it's a real good,###speakerb37.###it just never happened before.###speakera38.###speakerb39.###so it's really surprising everybody."	what	what * to do *t*-1	all the developers don't know  	.	All the developers don't know what they <b>should</b> do.	All the developers don't know what they <b>could</b> do.
90074:87	"but, uh, gee, i just i like *-1 to read gardening books and things like that. just * to tell me <b>what *-2 to do *t*-3 with my garden</b>"	"###right.###speakera77.### and, and so, it was, it was a much more intense book than the sort of flimflam that they cast *t*-1 off in the movie.###speakerb78.###right.###speakera79.###speakerb80.###i know.###speakera81.###and, anyway, we are not talking about that,"	what	what *-2 to do *t*-3 with my garden	"but, uh, g  , i just i lik  *-1 to r ad gard ning books and things lik  that. just * to t ll m "	e	Just to tell me what I <b>should</b> to do with my garden.	Just to tell me what I <b>could</b> to do with my garden.
14829:73	"it's like, those guys, at one point, you know, they had so much money that they didn't know <b>what * to do *t*-1 with it</b>."	"###nope,###i only heard about it.###speakera83.###okay,###in one part, the guy goes out of jail,###and within, uh, two months, he has all his house payments gone * everything paid *, you know,###speakerb84.###uh-huh.###speakera85.###and he had enough money * to, you know,"	what	what * to do *t*-1 with it	"it's like, those guys, at one point, you know, they had so much money that they didn't know  "	.	They had so much money that they didn't know what <b>should</b> do with it.	They had so much money that they didn't know what <b>could</b> do with it.
24860:16	they don't know <b>what * to do</b> *t*-1.	"###speakerb26.###right,###in high school.###speakera27.###so when i went to my first year of tech school *t*-1, i had a very easy time because our high school had a, a good program.###speakerb28.###right.###speakera29.###speakerb30.###i think 0 the schools today, you know, the public schools are just, they're just overrun *-1, you know,"	what	what * to do *t*-1	they don't know  	","	They don't know what they <b>should</b> do.	They don't know what they <b>could</b> do.
147326:16	he doesn't know <b>when *-2 to take his medicine</b> *t*-1	"###but she has adjusted beautifully.###speakerb24.###oh, that is great.###speakera25.###but then i am also facing my father who *t*-1 is very sick###and my mother and father reside in colorado.###she's been taking care of him.###i don't know how much longer this can last *t*-1###and at that point because he requires round the clock.###he can't do anything without her."	when	when *-2 to take his medicine *t*-1	he doesn't kno 	w	He doesn't know when he <b>should</b> take his medicine.	He doesn't know when he <b>could</b> take his medicine.
