workerid,proliferate.condition,response,sentence,slide_number_in_experiment,strangeSentence,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,EmbeddedSQ,DegreeQ,SubjectAuxInv,WhAll,WhAdvP,MatrixNegPresent,EmbeddedNegPresent,SbarNomPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixSubject,MatrixNegation,InvertedAuxVerb,MatrixPredAux,MatrixPredVerb,MatrixPredOther,MatrixPredParticle,MatrixPred2,Modal,EmbeddedSubject,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,JustMatrixClause,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
8,experiment_01,7,NA,17,0,34142:114,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"even after you wait your nine days, if you don't know how * to handle it *t*-1, it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know how * to drive *t*-3.",no,no,no,embedded,,no,,,yes,yes,,,,,how,*t*-2,n't,,does,know,,,,,*,,drive,,,,,how,*t*-2 doesn't know how * to drive *t*-3,no,no,NA,(WRB how),how * to drive *t*-3,"(TOP (S (SBAR-TMP (ADVP (RB even)) (IN after) (S (NP-SBJ (PRP you)) (VP (VBP wait) (NP (PRP$ your) (CD nine) (NNS days))))) (, ,) (SBAR-ADV (IN if) (S (NP-SBJ (PRP you)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB handle) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1)))))))))) (, ,) (NP-SBJ (PRP it)) (VP (BES 's) (PP-PRD (ADVP (RB just)) (IN like) (S-NOM (NP-SBJ (-NONE- *)) (VP (VBG putting) (NP (NP (NN someone)) (SBAR (-NONE- *ICH*-4))) (PP-PUT (IN in) (NP (DT an) (NN automobile))) (SBAR-4 (WHNP-2 (WDT that)) (S (NP-SBJ (-NONE- *T*-2)) (VP (VBZ does) (RB n't) (VP (VB know) (SBAR (WHADVP-3 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB drive) (ADVP-MNR (-NONE- *T*-3)))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,6,NA,18,0,31283:31,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"and they are telling that they don't know how * to read *t*-1, you know.",no,no,no,embedded,,no,,,yes,yes,,,,,how,they,n't,,do,know,,,,,*,,read,,,,,,they don't know how * to read *t*-1,no,no,NA,(WRB how),how * to read *t*-1,"(TOP (S (CC and) (NP-SBJ (PRP they)) (VP (VBP are) (VP (VBG telling) (SBAR (IN that) (S (NP-SBJ (PRP they)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB read) (ADVP-MNR (-NONE- *T*-1)))))))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (. .) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,3,NA,19,0,107569:49,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"so i kind of know how it *exp*-4 is * to, how *-1 to decide if you want *-2 to put somebody in a rest home *t*-3",no,no,no,embedded,,no,,,yes,,,,,somebody,how,i,,,,know,,,,,*-1,,decide,want,put,,a rest home,,"so i kind of know how it *exp*-4 is * to, how *-1 to decide if you want *-2 to put somebody in a rest home *t*-3",no,no,NA,(WRB how),"how it *exp*-4 is * to, how *-1 to decide if you want *-2 to put somebody in a rest home *t*-3","(TOP (S (RB So) (NP-SBJ-1 (PRP I)) (ADVP (RB kind) (RB of)) (VP (VBP know) (SBAR (EDITED (RM (-DFL- \[)) (SBAR (WHADVP (WRB how)) (S (NP-SBJ (NP (PRP it)) (S (-NONE- *EXP*-4))) (VP (VBZ is) (S-4 (NP-SBJ (-NONE- *)) (VP-UNF (TO to)))))) (, ,) (IP (-DFL- \+))) (WHADVP-3 (WRB how)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (RS (-DFL- \])) (VP (VB decide) (SBAR (IN if) (S (NP-SBJ-2 (PRP you)) (VP (VBP want) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB put) (NP (NN somebody)) (PP-PUT (IN in) (NP (DT a) (NN rest) (NN home))))))))) (ADVP-MNR (-NONE- *T*-3))))))) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,4,NA,20,1,100627:16,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,they don't know what * to expect *t*-1 at home.,no,no,no,embedded,,no,,,,yes,,,,,what,they,n't,,do,know,,,,,*,,expect,,,,,,they don't know what * to expect *t*-1 at home.,no,no,NA,(WP what),what * to expect *t*-1 at home,(TOP (S (NP-SBJ (PRP they)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB expect) (NP (-NONE- *T*-1)) (PP-LOC (IN at) (NP (NN home))))))))) (. .) (-DFL- E_S))),monomorphemic,no
8,experiment_01,7,NA,21,1,71650:16,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,you can't forget how * to ride a bike *t*-2.,no,no,no,embedded,,no,,,yes,yes,,,,,how,you,n't,,,forget,,,,,*,,ride,,,,a bike,,you can't forget how * to ride a bike *t*-2.,no,no,NA,(WRB how),how * to ride a bike *t*-2,(TOP (S (NP-SBJ (PRP you)) (VP (MD ca) (RB n't) (VP (VB forget) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB ride) (NP (DT a) (NN bike)) (ADVP-MNR (-NONE- *T*-2)))))))) (. .) (-DFL- E_S))),monomorphemic,no
8,experiment_01,1,NA,22,1,54036:19,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,i don't even know how * to knit *t*-1,no,no,no,embedded,,no,,,yes,yes,,,,,how,i,n't,,do,know,,,,,*,,knit,,,,,,i don't even know how * to knit *t*-1,no,no,NA,(WRB how),how * to knit *t*-1,(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB know) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB knit) (ADVP-MNR (-NONE- *T*-1)))))))) (-DFL- E_S))),monomorphemic,no
8,experiment_01,1,NA,23,0,20272:87,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"it seems *-2 to say, 0 i'll tax them if you can't get enough money, instead of *-3 trying *-1 to figure out how * to cut budgets or cut spending or, or, you know, get all of the waste out of the spending *t*-4.",no,no,no,embedded,,no,,,yes,yes,,,,all,how,*-1,n't,,'ll,figure,,,,,*,,cut,cut,know,,all of the waste,how,"*-1 to figure out how * to cut budgets or cut spending or, or, you know, get all of the waste out of the spending *t*-4",no,no,NA,(WRB how),"how * to cut budgets or cut spending or, or, you know, get all of the waste out of the spending *t*-4","(TOP (S (NP-SBJ-2 (PRP It)) (VP (VBZ seems) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB say) (, ,) (SBAR (-NONE- 0) (S (NP-SBJ-3 (PRP I)) (VP (MD 'll) (VP (VB tax) (NP (PRP them)) (SBAR-ADV (IN if) (S (NP-SBJ (PRP you)) (VP (MD ca) (RB n't) (VP (VB get) (NP (JJ enough) (NN money)))))) (, ,) (PP (IN instead) (PP (IN of) (S-NOM (NP-SBJ-1 (-NONE- *-3)) (VP (VBG trying) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB figure) (PRT (RP out)) (SBAR (WHADVP-4 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VP (VB cut) (NP (NNS budgets))) (CC or) (VP (VB cut) (NP (NN spending))) (EDITED (RM (-DFL- \[)) (CC or) (, ,) (IP (-DFL- \+))) (CC or) (, ,) (RS (-DFL- \])) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (VP (VB get) (NP (NP (DT all)) (PP (IN of) (NP (DT the) (NN waste)))) (PP (IN out) (PP (IN of) (NP (DT the) (NN spending))))) (ADVP-MNR (-NONE- *T*-4))))))))))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,
8,experiment_01,6,NA,24,1,57302:38,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"but now i've, i've learned how *-1 to sew *t*-2,",no,no,no,embedded,,no,,,yes,,,,,,how,i,,,'ve,learned,,,,,*-1,,sew,,,,,,"but now i've, i've learned how *-1 to sew *t*-2,",no,no,NA,(WRB how),how *-1 to sew *t*-2,"(TOP (S (CC but) (ADVP-TMP (RB now)) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBP 've))) (, ,) (IP (-DFL- \+))) (NP-SBJ-1 (PRP I)) (VP (VBP 've) (RS (-DFL- \])) (VP (VBN learned) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB sew) (ADVP-MNR (-NONE- *T*-2)))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,7,NA,25,0,48339:27,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"but i think that if i learn how *-1 to use one *t*-2, i would, i would feel better.",no,no,no,embedded,,no,,,yes,,,,,one,how,i,,,would,learn,,,,,*-1,,use,,,,,,i learn how *-1 to use one *t*-2,no,no,NA,(WRB how),how *-1 to use one *t*-2,"(TOP (S (CC But) (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (IN that) (S (SBAR-ADV (IN if) (S (NP-SBJ-1 (PRP I)) (VP (VBP learn) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB use) (NP (NN one)) (ADVP-MNR (-NONE- *T*-2))))))))) (, ,) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (MD would))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (VP (MD would) (RS (-DFL- \])) (VP (VB feel) (ADJP-PRD (RBR better))))))) (. .) (-DFL- E_S)))",monomorphemic,no
3,experiment_02,7,NA,7,0,45111:93,[],24,Yes,NA,4,1,1,Female,English,Chrome,Windows,720,1280,5.60745,NA,"whenever, the first time 0 i voted *t*-2, i never voted in high school because there was never anyone that *t*-1 showed us how * to use the voting machines *t*-3,",no,no,no,embedded,,no,,,yes,,,,,,how,*t*-1,,,was,showed,,,,,*,,use,,,,the voting machines,how,*t*-1 showed us how * to use the voting machines *t*-3,no,no,NA,(WRB how),how * to use the voting machines *t*-3,"(TOP (S (EDITED (RM (-DFL- \[)) (SBAR-TMP-UNF (WHADVP (WRB Whenever))) (, ,) (IP (-DFL- \+))) (NP-ADV (NP (DT the) (JJ first) (NN time)) (RS (-DFL- \])) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ (PRP I)) (VP (VBD voted) (ADVP-TMP (-NONE- *T*-2)))))) (, ,) (NP-SBJ (PRP I)) (ADVP-TMP (RB never)) (VP (VBD voted) (PP-TMP (IN in) (NP (JJ high) (NN school))) (SBAR-PRP (IN because) (S (NP-SBJ (EX there)) (VP (VBD was) (ADVP-TMP (RB never)) (NP-PRD (NP (NN anyone)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBD showed) (NP (PRP us)) (SBAR (WHADVP-3 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB use) (NP (DT the) (NN voting) (NNS machines)) (ADVP-MNR (-NONE- *T*-3)))))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
3,experiment_02,7,NA,8,0,87941:11,[],24,Yes,NA,4,1,1,Female,English,Chrome,Windows,720,1280,5.60745,NA,she knows how * to do that *t*-1.,no,no,no,embedded,,no,,,yes,,,,,,how,she,,,,knows,,,,,*,,do,,,,that,,she knows how * to do that *t*-1.,no,no,NA,(WRB how),how * to do that *t*-1,(TOP (S (NP-SBJ (PRP She)) (VP (VBZ knows) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (DT that)) (ADVP-MNR (-NONE- *T*-1))))))) (. .) (-DFL- E_S))),monomorphemic,no
3,experiment_02,4,NA,9,0,14829:73,[],24,Yes,NA,4,1,1,Female,English,Chrome,Windows,720,1280,5.60745,NA,"it's like, those guys, at one point, you know, they had so much money that they didn't know what * to do *t*-1 with it.",no,no,no,embedded,,no,,,,yes,,,,,what,they,n't,,had,know,,,,,*,,do,,,,,what,they didn't know what * to do *t*-1 with it,no,no,NA,(WP what),what * to do *t*-1 with it,"(TOP (S (NP-SBJ (PRP it)) (VP (BES 's) (SBAR-PRD (IN like) (, ,) (S (NP-TPC (DT those) (NNS guys)) (, ,) (PP (IN at) (NP (CD one) (NN point))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (NP-SBJ (PRP they)) (VP (VBD had) (NP (ADJP (RB so) (JJ much)) (NN money) (SBAR (IN that) (S (NP-SBJ (PRP they)) (VP (VBD did) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1)) (PP (IN with) (NP (PRP it)))))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
3,experiment_02,6,NA,10,0,86712:37,[],24,Yes,NA,4,1,1,Female,English,Chrome,Windows,720,1280,5.60745,NA,"and, and, uh, he taught me how * to shoot, uh, a old single shot twenty-two *t*-1",no,no,no,embedded,,no,,,yes,,,,,,how,he,,,,taught,,,,,*,,shoot,old,single,,a old single shot twenty-two,,"and, and, uh, he taught me how * to shoot, uh, a old single shot twenty-two *t*-1",no,no,NA,(WRB how),"how * to shoot, uh, a old single shot twenty-two *t*-1","(TOP (S (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+))) (CC and) (, ,) (RS (-DFL- \])) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP he)) (VP (VBD taught) (NP (PRP me)) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB shoot) (, ,) (INTJ (UH uh)) (, ,) (NP (DT a) (JJ old) (JJ single) (NN shot) (CD twenty-two)) (ADVP-MNR (-NONE- *T*-1))))))) (-DFL- E_S)))",monomorphemic,no
3,experiment_02,4,NA,11,0,62072:48,[],24,Yes,NA,4,1,1,Female,English,Chrome,Windows,720,1280,5.60745,NA,"i want *-1 to believe 0 they go into other countries and teach them how * to do things like * farm, uh, dig their own wells, set up, their schools *t*-2.",no,no,no,embedded,,no,,,yes,,,,,,how,they,,,,teach,,,,,*,,do,farm,dig,,,,"they go into other countries and teach them how * to do things like * farm, uh, dig their own wells, set up, their schools *t*-2",no,no,NA,(WRB how),"how * to do things like * farm, uh, dig their own wells, set up, their schools *t*-2","(TOP (S (NP-SBJ-1 (PRP I)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB believe) (SBAR (-NONE- 0) (S (NP-SBJ (PRP they)) (VP (VP (VBP go) (PP-DIR (IN into) (NP (JJ other) (NNS countries)))) (CC and) (VP (VBP teach) (NP (PRP them)) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (NP (NNS things)) (SBAR (IN like) (S (NP-SBJ (-NONE- *)) (VP (VP (VB farm)) (, ,) (INTJ (UH uh)) (, ,) (VP (VB dig) (NP (PRP$ their) (JJ own) (NNS wells))) (, ,) (VP (VB set) (PRT (RP up)) (, ,) (NP (PRP$ their) (NNS schools))))))) (ADVP-MNR (-NONE- *T*-2)))))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
